"","posted_date","new_cases","new_tests","new_deaths"
"1",2020-01-01,0,3,0
"2",2020-01-04,0,2,0
"3",2020-01-05,0,1,0
"4",2020-01-06,0,1,0
"5",2020-01-07,14,270,0
"6",2020-01-09,0,1,0
"7",2020-01-13,0,1,0
"8",2020-01-24,0,1,0
"9",2020-01-29,0,1,0
"10",2020-01-31,0,1,0
"11",2020-02-05,1,1,0
"12",2020-02-06,1,1,0
"13",2020-02-07,61,434,0
"14",2020-02-09,1,2,0
"15",2020-02-13,0,1,0
"16",2020-02-20,1,1,0
"17",2020-02-21,0,1,0
"18",2020-02-22,0,1,0
"19",2020-02-25,0,1,0
"20",2020-02-27,0,3,0
"21",2020-02-28,0,4,0
"22",2020-02-29,0,6,0
"23",2020-03-01,0,2,0
"24",2020-03-02,2,6,0
"25",2020-03-03,0,3,0
"26",2020-03-04,1,19,0
"27",2020-03-05,0,15,0
"28",2020-03-06,0,16,0
"29",2020-03-07,17,245,0
"30",2020-03-08,0,7,0
"31",2020-03-09,4,39,0
"32",2020-03-10,6,53,0
"33",2020-03-11,4,62,0
"34",2020-03-12,8,167,0
"35",2020-03-13,23,249,0
"36",2020-03-14,11,182,0
"37",2020-03-15,11,179,0
"38",2020-03-16,33,519,0
"39",2020-03-17,39,569,0
"40",2020-03-18,26,540,0
"41",2020-03-19,45,526,1
"42",2020-03-20,48,717,0
"43",2020-03-21,16,238,0
"44",2020-03-22,22,205,1
"45",2020-03-23,55,658,0
"46",2020-03-24,59,601,0
"47",2020-03-25,52,483,0
"48",2020-03-26,48,479,1
"49",2020-03-27,55,571,1
"50",2020-03-28,50,343,3
"51",2020-03-29,32,225,0
"52",2020-03-30,50,703,1
"53",2020-03-31,72,647,4
"54",2020-04-01,71,813,1
"55",2020-04-02,50,634,1
"56",2020-04-03,57,690,2
"57",2020-04-04,29,330,0
"58",2020-04-05,27,245,1
"59",2020-04-06,45,650,0
"60",2020-04-07,57,672,1
"61",2020-04-08,67,647,2
